id	name	code1	code2	завод	закуп1	закуп2	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	price5	price5_name	price6	price6_name	price7	price7_name	price8	price8_name	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code3		img_path	img1	img2	img3	img4	img5	prim	prim2	par1	text1	par2	text2	par3	text3	w	h	l	m	desc	Comment
1	Блок цилиндров двигателя 740.10, 7403	740.21-1002012-20					375 000	завод, новый, НЕТ в наличиии		новый, с хранения, старого образца 740.1002012			98 000	подбор б\у, стандарт Р0, проверена соосность, втулки новые, готов к установке													Блоки цилиндров		blok-cilindrov-kamaz-evro-0-dvig-kamaz-740-10-7403__740-21-1002011-20	/dvigatel_zapchasti/catalog/bloki/				/dvigatel_zapchasti/img/bloki/	740.21-1002011-20(21)_1.jpg					КамАЗ 4310, 5320, 5511, 5410. Урал 4320	двигатели: 740.10, 7403.10 до 2002 г.в. (за некоторыми исключениями)							0.64	0.45	0.7	232	Блок двигателя 4310	
3	Блок цилиндров ЯЗДА двигателя КамАЗ Евро-1, Евро-2	740.21-1002012	740.21-1002011, 740.21-1002010		299		478 000	под ЯЗДА, новый, в наличиии					168 800	подбор б\у, стандарт Р0, проверена соосность, втулки новые, готов к установке											740.13-1005008	740.13-1000128	Блоки цилиндров		blok-cilindrov-yazda-dvigatelya-kamaz-evro-1-evro-2__740-21-1002012	/dvigatel_zapchasti/catalog/bloki/				/dvigatel_zapchasti/img/bloki/	740.21-1002012_1.jpg	740.21-1002012_2.jpg					двигатели Евро1: 740.11, 740.13, 740.30, Евро-2: 740.31, 740.50, 740.51, 740.55 с топливной аппаратурой ЯЗДА							0.64	0.45	0.7	232	Блок цилиндров под Ярославльский ТНВД 740.21-1002012, с втулками и заглушками	
5	Блок цилиндров под Bosch двигателя КамАЗ Евро-2, Евро-3	740.21-1002012-10	740.21-1002011-10, 740.21-1002010-10	евро	4326	380340	422 600	завод, новый, НЕТ					168 800	подбор б\у, стандарт Р0, проверена соосность, втулки новые, готов к установке		подбор б\у, размер стандарт Р0, выведена  соосность, втулки новые, готов к установке. 											Блоки цилиндров		blok-cilindrov-pod-bosch-dvigatelya-kamaz-evro-2-evro-3__740-21-1002012-10	/dvigatel_zapchasti/catalog/bloki/				/dvigatel_zapchasti/img/bloki/	740.21-1002012-10_1.jpg	740.21-1002012-10_2.jpg				Автомобили  КАМАЗ: 65115, 6522, 65117, 44108, 6460, 5460, 65111, 6520 и другие подобные машины, в том числе на автобусы	двигатели Евро-2: 740.30, 740.31, 740.50 и 740.51, Евро-3:740.60, 740.61, 740.62 с топливной аппаратурой Bosch							0.7	0.6	0.8	235	На данном блоке цилиндров присутствуют: - 2 отверстия под крепление теплообменника и дополнительные каналы для установки теплооменника;  - обработанные бобышки под установку форсунок охлаждения поршней; - отверстия под датчик управления муфтой 	Поставляется без распредвала
7	Блок цилиндров для двигателя КамАЗ Евро-4,5 Common Rail	740.70-1002010 (11)					418 000	<b>завод, новый, в наличии</b> 740.70-1002010 - с заглушками, штифтами	462 500	усиленный 740.73-1002011, НЕТ			189 000	подбор б\у, стандарт Р0, проверена соосность, втулки новые, готов к установке													Блоки цилиндров		blok-cilindrov-dvigatelya-kamaz-evro-4-common-rail__740-70-1002011-10	/dvigatel_zapchasti/catalog/bloki/				/dvigatel_zapchasti/img/bloki/	740.70-1002011(10)_1.jpg					КамАЗ	двигатели: Евро-4 Common Rail: 740.622, 740.632, 740.662, 740.70, 740.73, 740.74							0.7	0.6	0.8	235	Применяется на технику после 2002 года выпуска (с некоторыми исключениями).	011 блок (голый), 010 блок - с комплектующими: заглушки, пробки, штифты, болты, втулки/ 
																																																					
9	Блок цилиндров Cummins 6ISBe, 6ISDe V=6.7	4946586 	4946586, 4955412, 4990451, 3973829, 4991099, 4932675, 3971950				293 430	<b>новый</b>																			Блоки цилиндров		blok-cilindrov-cummins-6isbe__4946586	/dvigatel_zapchasti/catalog/bloki/				/dvigatel_zapchasti/img/bloki/	Blok_tsilindrov_6ISBe__6ISDe__QSB6.7_DCEC.jpg	Blok_tsilindrov_6ISBe__6ISDe__QSB6.7_DCEC_2.jpg				Камаз, автобусы ПАЗ, КАвЗ, ЛИАЗ, НефАЗ, Волжанин, Мичуринский, Higer, AVIA и другую технику.	двигатели: 6Isbe210, 6Isbe285, 6Isbe300							0.56	0.7	1.05	206		4990451 / 4932675 / 4932528 / 4932333 / 4929972 / 3999925 / 4932332 / 4932525 / 4089502 / 4990447 / 4946585 / 4933931 / 4933928
11	Блок цилиндров Cummins 4ISBe	5274410	4955475, 4934322, 4931730				186 230	<b>новый</b>																			Блоки цилиндров		blok-cilindrov-cummins-4isbe__4955475	/dvigatel_zapchasti/catalog/bloki/				/dvigatel_zapchasti/img/bloki/	Blok_tsilindrov_4Isbe_1.jpg	Blok_tsilindrov_4Isbe_2.jpg				Камаз 4308, 43253, 43255, ПАЗ-320402-05	двигатели: Cummins 4Isbe185	Рядный, 4 цилиндра						0.56	0.6	0.962	105		4934322, 4955475, 4931730, 5270094, 5274410, 4321816, 4934319
12	Блок цилиндров Cummins L Series (QSL 9, ISLe)	5662122	4946152, 5293403, 5260557, 5293410, 5260558, 4928830, 4928831, 5662122				326 140	<b>новый</b>																			Блоки цилиндров		blok-cilindrov-cummins-l_6lta_l325_l340_l360_l375_5662122	/dvigatel_zapchasti/catalog/bloki/				/dvigatel_zapchasti/img/bloki/	blok_cummins_l_5260558_5662122.jpg	blok_cummins_l_5260558_5662122_1.jpg				КАМАЗ 65116, 65117, 43118 CUMMINS L325, L360, КАМАЗ 44108 L325/ISLe Евро 4	двигатели КАММИНЗ 6LTAA8.9, L325-20, L340-20, L360-20, L375-20, ISLe мощностью 310-375 л.с. и QSL9.	Рядный, 4 цилиндра						0.6	0.8	1.15	230		Cummins C L Series C5293409 С5293409 5293409 5260558 C5260558 5260557 4946152 5293403 5662122
																																																					
171	Блок управления КАМАЗ двигателем EDC7UC31 BOSCH 114	0 281 020 114	740.70-3724050, 45104111102090, MS6.10281020090, 0281020114				78 500	<b>новый, в наличии</b>	4 500	перепрошивка			8 500	отключение мочевины													ЭБУ		blok-upravleniya-kamaz-dvigatelem-edc7uc31-bosch-114-0281020114	/dvigatel_zapchasti/catalog/bloki-uprav/				/dvigatel_zapchasti/img/bloki-uprav/	0281020114-block-ebu-bosch-na-kamaz-evro-4-5-common-rail_1.png	0281020114-block-ebu-bosch-na-kamaz-evro-4-5-common-rail_2.png				КамАЗ	двигатели: Евро-4-5 Common Rail: 740.622, 740.632, 740.662, 740.70, 740.73, 740.74, 740.705, 740.735							0.2	0.07	0.25	2.1	ЭБУ двигателя 114 Bosch CR регулируют все основные процессы дизельных двигателей. Автомобиль оснащается датчиками, которые контролируют: частоту вращения коленчатого вала, давление наддува, температуру в системе охлаждения, расход воздуха, положение педали газа. 	5460-4071014 Установка электронных блоков управления
175	Блок управления электрооборудованием ЦБУЭ для Евро-5	21.3867000-01					23 000	новый, в наличии																			ЭБУ		blok-upravleniya-ehlektrooborudovaniem-cbueh-21-3867000-01-na-kamaz	/dvigatel_zapchasti/catalog/bloki-uprav/				/dvigatel_zapchasti/img/bloki-uprav/																		БЛОК УПРАВЛЕНИЯ ЭЛЕКТРООБОРУДОВАНИЕМ ЦЕНТРАЛЬНЫЙ 21.3867000-01 ДЛЯ ЕВРО-5, НПП ИТЭЛМА	21.38670000 - старого образца (не выпускаются), 21.3867000-01 - блоки нового образца
568	Блок управления двигателем М240 на КАМАЗ Евро-4, Евро-5 	8.9496-55.3763-01	М240				58 500	<b>новый, в наличии</b>	4 500	перепрошивка			8 500	отключение мочевины													ЭБУ		blok-upravleniya-dvigatelem-m240-na-kamaz-evro-4-5-8-9496-55-3763-01	/dvigatel_zapchasti/catalog/bloki-uprav/				/dvigatel_zapchasti/img/bloki-uprav/	blok-kamaz-m-240-evro-4-5_1.jpg	blok-kamaz-m-240-evro-4-5_2.jpg	blok-kamaz-m-240-evro-4-5_3.jpg			КАМАЗ 	КАМАЗ Евро-4. Евро-5,  ЯМЗ-6565, 6585, 53403											 553763-0, АБИТ 8.9496	
566	Блок управления двигателем КАМАЗ Евро-3 BOSCH MS6.1 090	0 281 020 090					63 500	<b>новый, в наличии</b>	4 500	перепрошивка																	ЭБУ		blok-upravleniya-dvigatelem-ms6-1-kamaz-evro-3-bosch-0-281-020-090	/dvigatel_zapchasti/catalog/bloki-uprav/				/dvigatel_zapchasti/img/bloki-uprav/																			
