id	name	code1	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code2	code3	4310	4326	43114	43118	43261	4350	6450	prim	prim2	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	img_path	img1	img2	img3	img4	img5	par1	text1	par2	text2	par3	text3	w	h	l	m	desc	Comment	desc1
3	Двигатель КамАЗ 740.10-210 / Евро-0	74009.1000400	7403.1000400	740.13-1000400	740.31-1000400	740.30-1000400	Двигатели		dvigatel_740_10_evro-0	/kamaz-4310/catalog/dvigateli/											КамАЗ-4310, 43101, 54112, 5320, 53212, 5410, 54112, 55102, 55511; Урал-4320; ЗИЛ-133; АГМС.		430 000	новый, завод	335 000	новый, дочерняя компания	245 000	Кап.ремонт макс., из новых ориг.деталей, гарантия 1 год	230 000	Кап.ремонт, гарантия 6мес.	/kamaz-4310/img/dvigatel/	dvigatel_740.10_evro-0_1.jpg	dvigatel_740.10_evro-0_3.jpg	dvigatel_740.10_evro-0_5.jpg			Мощность	210	КПП	14, 142, 15, 152			0.95	1.1	1.26	750	4-тактный 8-цилиндровый V-образный дизель. Первый мотор КамАЗа.	Топливная аппаратура: ЯЗДА 334.1111005, рабочий объем 10,85 л., Модификации: 740.1000312, 740.1000412, 740.1000412-20, 740.1000512-20	
5	Двигатель КамАЗ 7403.10-260 / Турбо	7403.1000400	74009.1000400	740.13-1000400	740.31-1000400	740.30-1000400	Двигатели		dvigatel_7403_10_turbo	/kamaz-4310/catalog/dvigateli/											КамАЗ-4310, 43118, 5320, 5410, 55102, 5511		450 000	новый, завод	335 000	новый, дочерняя компания	245 000	Кап.ремонт макс., из новых ориг.деталей, гарантия 1 год	230 000	Кап.ремонт, гарантия 6мес.	/kamaz-4310/img/dvigatel/						Мощность	260	КПП	14, 142, 15, 152	Турбокомпрессор	ТКР 7Н1	0.95	1.1	1.26	780	Первое поколение турбированных двигателей КамАЗ. Показал хорошо себя в сложных дорожных условиях. Двигатель также устанавливался на ЗИЛ и Урал, БТР-70М, БТР-70 и серийные БТР-80.	Топливная аппаратура: ЯЗДА 334.1111005. Модицикации: 7403.1000302, 7403.1000312-04	
6	Двигатель КамАЗ 740.13-260 / Евро-1	740.13-1000400	740.31-1000400	740.30-1000400	7403.1000400	74009.1000400	Двигатели		dvigatel_740_13-260_evro-1	/kamaz-4310/catalog/dvigateli/											КамАЗ-43114, 43118, 65115, 54115, 53215, 53229 и др.		678 000	новый, завод	480 000	новый, дочерняя компания	410 000	Кап.ремонт макс., из новых ориг.деталей, гарантия 1 год	370 000	Кап.ремонт, гарантия 6мес.							Мощность	260	КПП	14, 142, 15, 152	Турбокомпрессор	ТКР 7Н1					Модифицированная версия двигателя 740.11,  один из первых двигателей класса евро 1, турбированный. Двигатель часто используется для энергоустановок и тяжелых кранов	Топливная аппаратура: ЯЗДА 334.1111005. Модицикации: 	
7	Двигатель КамАЗ 740.30-260 / Евро-1-2	740.30-1000400	740.31-1000400	740.13-1000400	7403.1000400	74009.1000400	Двигатели		dvigatel_740_30-260_evro-2	/kamaz-4310/catalog/dvigateli/											КамАЗ-43118, 65115, 65117, 65111		774 000	новый, завод	580 000	новый, дочерняя компания	450 000	Кап.ремонт макс., из новых ориг.деталей, гарантия 1 год			/kamaz-4310/img/dvigatel/			dvigatel_740.30_740.31_740.50_schema_15.jpg	dvigatel_740.30_740.31_740.50_schema_16.jpg		Мощность	260	КПП		Турбокомпрессор		0.95	1.1	1.26	840		Топливная аппаратура: ЯЗДА 334.1111005. Модицикации: 	
8	Двигатель КамАЗ 740.31-240 / Евро-2	740.31-1000400	740.30-1000400	740.50-1000400	740.13-1000400	7403.1000400	Двигатели		dvigatel_740_31-240_evro-2	/kamaz-4310/catalog/dvigateli/											КамАЗ-54115, 55111, 43253, 53215, 53228, 53229, 43118		684 000	новый, завод	580 000	новый, дочерняя компания	450 000	Кап.ремонт макс., из новых ориг.деталей, гарантия 1 год			/kamaz-4310/img/dvigatel/			dvigatel_740.30_740.31_740.50_schema_15.jpg	dvigatel_740.30_740.31_740.50_schema_16.jpg		Мощность	240	КПП	142, 152	Турбокомпрессор	2 турбокомпрессора	0.95	1.1	1.26	885		Топливная аппаратура: BOSCH, ЯЗДА-337	
9	Двигатель КамАЗ 740.50-360 / Евро-2-3	740.50-1000400	740.31-1000400	740.30-1000400			Двигатели		dvigatel_740_50-360_evro-2-3	/kamaz-4310/catalog/dvigateli/											КамАЗ-6520, тягачи 6460, 5460		760 000	новый, завод	605 000	новый, дочерняя компания	470 000	Кап.ремонт макс., из новых ориг.деталей, гарантия 1 год			/kamaz-4310/img/dvigatel/			dvigatel_740.30_740.31_740.50_schema_15.jpg	dvigatel_740.30_740.31_740.50_schema_16.jpg		Мощность	360	КПП	с однодисковым сцеплением (КП 154, ZF)			0.95	1.1	1.26	885	8-цилиндровый дизельный мотор для самосвалов и тягачей. Мотор оснащён системой охлаждения надувочного насоса типа «водух-воздух».	Топливная аппаратура: Bosch, ЯЗДА	
38																																																	
39	Коробка КПП-14 КамАЗ	14.1700025	141.1517050.01	142.1700025	142.1700109 (106) MFZ	144.1700100	КПП		kpp_14_kamaz	/kamaz-4310/catalog/kpp_korobki_peredach/	201										КамАЗ 4310, 5320						по запросу	кап.ремонт макс, гарантия 6 мес.			/assets/img/kpp/	kpp-14-kamaz.jpg	kpp-14-kamaz_11.jpg										0.6	0.5	1.2	252	5-ступенчатая коробка передач с шестернями постоянного зацепления на всех передачах и с синхронизаторами включения 2, 3, 4 и 5 передач. Все шестерни - косозубые, кроме шестерни 1-ой передачи и заднего хода.		
41	Коробка КПП-141 КамАЗ на УРАЛ 4320	141.1517050.01	142.1700025	142.1700109 (106) MFZ	144.1700100	14.1700025	КПП		kpp_141_kamaz	/kamaz-4310/catalog/kpp_korobki_peredach/	203										Урал 4320 и модификации для 43253, 43505, 4308			завод, новая	62 500		36 000	кап.ремонт макс, гарантия 6 мес.			/assets/img/kpp/	kpp-141-kamaz_1.png			kpp-141-kamaz_11.jpg								0.6	0.5	1.2	258	Улучшенная модификация 14-ой модели - КПП 141 КамАЗ с отличиями: - увеличенное количество зубьев на шестернях передач, что увеличивает тягу автомобиля, позволяя преодолевать крутые подъемы груженному автомобилю.		
43	Коробка КПП-142 КамАЗ	142.1700025	142.1700109 (106) MFZ	144.1700100	141.1517050.01	14.1700025	КПП		kpp_142_kamaz	/kamaz-4310/catalog/kpp_korobki_peredach/	204										КамАЗ 43114, 43118, 43253		по запросу	завод, новая	90 400	Наб.Челны, аналог, новая	58 000	кап.ремонт макс, гарантия 6 мес.	45 000	кап.ремонт - эконом, гарантия 3 мес.	/assets/img/kpp/	kpp-142-kamaz_1.png											0.6	0.5	1.2	254	Пять ступеней переднего хода и одна заднего, позволяют применять КПП КамАЗ без делителя на бортовых автомобилях, самосвалах и др.		
