id	name	dlina	code1	tt		price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	cat	url	path	cat_url	ord	code2	code3	analog	prim	prim2	mesto1	mesto2	img_path	img1	img2	img3	img4	img5	desc	Comment	flanec_type	flanec_code	otv	D_po_centram_otv	D_vneshnyi	burt	truba	krest	krest_code	krest_D	krest_dlina	moment	max_moment	ugol		max_dlina	hod	do_krest	chastota_vrasch	D_vnesh	ot_torca	Осевой ход опоры	par12	text12	par13	text13	par14	text14	par15	text15	w	h	l	m
3	Вал карданный КамАЗ, заднего моста L=849	849	4240-2201011					28 050	К-Сервис, Н.Челны	28 963	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4240-2201011_l-849-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		заднего моста		/kardanyi_valy/img/kamkardan/	6361yax2.jpg							евро с торц.шлицами, маленький, T150		Ø13х4	130			82 х 4	50 х 135				10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	0.85	33.5
5	Карданная передача КамАЗ, с подвесным подшипником L=2201	2201	4308-2201006-74					62 150	К-Сервис, Н.Челны	68 825	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4308-2201006-74_l-2201-mm	/kardanyi_valy/catalog/kamaz/					вал фирмы KLEIN длиной 2210мм	КАМАЗ-4308		с подвесным подшипником		/kardanyi_valy/img/kamkardan/	peredacha-kamaz1.jpg					Карданная передача для грузовика КАМАЗ-4308 в сборе с подвесным подшипником L1=1275; L2=926		евро с торц.шлицами, маленький, T150		Ø13x4	130					53205-2201025																						0.2	0.2	2.21	
7	Вал карданный КамАЗ, заднего моста L=926	926	4308-2201011-20					24 970	К-Сервис, Н.Челны	31 100	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4308-2201011-20_l-926-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		заднего моста		/kardanyi_valy/img/kamkardan/	4325-2201011-01.jpg							евро с торц.шлицами, маленький, T150,		Ø13x4	130			82 х 4	50 х 135	53205-2201025			10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	0.93	34.2
9	Вал карданный КамАЗ, заднего моста L=1447	1447	4308-2201011-50					25 850	К-Сервис, Н.Челны	31 263	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4308-2201011-50_l-1447-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		заднего моста		/kardanyi_valy/img/kamkardan/	4326-2201001-1565mm2.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135	53205-2201025			10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.45	38.6
11	Вал карданный КамАЗ, заднего моста L=1520	1520	4308-2201011-51					25 850	К-Сервис, Н.Челны	31 263	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4308-2201011-51_l-1520-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		заднего моста		/kardanyi_valy/img/kamkardan/	4326-2201001-1565mm3.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135	53205-2201025			10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.52	39.2
13	Вал карданный КамАЗ, заднего моста L=1503	1503	4308-2201011-52											КАМАЗ	kardan-kamaz-4308-2201011-52_l-1503-mm	/kardanyi_valy/catalog/kamaz/								заднего моста										евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135	53205-2201025			10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.51	39.1
15	Вал карданный КамАЗ, заднего моста L=1270	1270	4308-2201011-60					25 850	К-Сервис, Н.Челны	31 263	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4308-2201011-60_l-1270-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		заднего моста		/kardanyi_valy/img/kamkardan/	4326-2201011_1565_.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135	53205-2201025			10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.27	37.1
17	Вал карданный КамАЗ, заднего моста L=854	854	4308-2201011-70					28 050	К-Сервис, Н.Челны	30 275	Иннова, Н-Челны, срок 3-7 дней		4310-1802024	КАМАЗ	kardan-kamaz-4308-2201011-70_l-854-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		заднего моста		/kardanyi_valy/img/kamkardan/	kamaz-532052.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135	53205-2201025			10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	0.86	33.6
19	Вал карданный КамАЗ, заднего моста L=1635	1635	4308-2201011-90					30 250	К-Сервис, Н.Челны					КАМАЗ	kardan-kamaz-4308-2201011-90_l-1635-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		заднего моста		/kardanyi_valy/img/kamkardan/	4326-2201011_1565_.jpg							евро с торц.шлицами, маленький, T150,		Ø13х4	130			82 х 4	50 х 135	53205-2201025			10000		40˚		2070 мм	155	100 мм	2000 об/мин	не более 162 мм											0.2	0.2	1.64	40.2
21	Вал карданный КамАЗ, Промежуточный, с пром.опорой L=1291	1291	4308-2202011-70											КАМАЗ	kardan-kamaz-4308-2202011-70_l-1291-mm	/kardanyi_valy/catalog/kamaz/						КАМАЗ-4308		Промежуточный, с пром.опорой								Промежуточный, с пром.опорой																																0.2	0.2	1.3	
23	Вал карданный КамАЗ, основной L=409	409	4310-2202011-02					9 350	К-Сервис, Н.Челны	16 725	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4310-2202011-02_l-409-mm	/kardanyi_valy/catalog/kamaz/				4310-2202011	4310-2202015-20 (?)	Вал карданный - основной (КПП - РК) 4208, -42111 (вахтовки), -4310, -43101, -43105, - 43106, -43118 (стар-модиф-), -4326, -4350, -53228		основной	от КПП до РК	/kardanyi_valy/img/kamkardan/	4310-2202011-02_409_.jpg					старого образца		квадратный, гладкий, большой		Ø16,1x4	140					5320-2205025			9800	11000	44			44														0.22	0.22	0.41	22.3
25	Вал карданный КамАЗ, переднего моста L=1136	1136	4310-2203011-01							13 488	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4310-2203011-01_l-1136-mm	/kardanyi_valy/catalog/kamaz/					4310-2203011	КАМАЗ-4310, 43101, 43106 (бортовой), 5410 (седальный тягач), 53228 (шасси 6*6), 4326, -4350, -53228, -65111		переднего моста	от РК до пер.моста							Современная модификация 4310-2203011-01 на замену 4310-2203011, который сейчас не выпускается, взаимозаменяем с 4310-2203011-02		квадратный, гладкий																														0.22	0.22	1.14	
27	Вал карданный КамАЗ, среднего моста L=727	727	4310-2205011-04							24 225	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4310-2205011-04_l-727-mm	/kardanyi_valy/catalog/kamaz/					4310-2205011-03	КАМАЗ-4310, 43101, 43106 (бортовой), 5410 (седальный тягач), 53228 (шасси 6*6)		среднего моста	от РК до сред.моста							Предыдущая модификация 4310-2205011-03 снята с производства		круглые, гладкие 8отв.																														0.22	0.22	0.73	
29	Вал карданный КамАЗ, рулевого управления L=410	410	4310-3422010					3 630	К-Сервис, Н.Челны	4 125	Иннова, Н-Челны, срок 3-7 дней			КАМАЗ	kardan-kamaz-4310-3422010_l-410-mm	/kardanyi_valy/catalog/kamaz/								рулевого управления		/kardanyi_valy/img/kamkardan/	4310-3422010.jpg					Устанавливается в рулевом управлении автомобилей КАМАЗ																		80														0.24	0.24	0.41	3.8
31	Вал карданный КамАЗ, основной L=418	418	43114-2202011-01					19 250	К-Сервис, Н.Челны					КАМАЗ	kardan-kamaz-43114-2202011_l-418-mm	/kardanyi_valy/catalog/kamaz/					43114-2202011			основной	от КПП до РК									евро с торц.шлицами, большой, T180		Ø15х4	150				50 х 155				12500.		15˚			34	88,5 мм	2000 об/мин	не более 190 мм											0.24	0.24	0.42	29.9
